measurand,submeasurand,direction,kind,display_name_en,display_name_en_muted,display_name_de,display_name_de_muted,comment
Energy,Apparent,Im Ex Diff,,Apparent energy (draw minus feed),since manufacturing,Scheinenergie (Bezug minus Einspeisung),seit Herstellung,
Energy,Apparent,Im Ex Diff,Resettable,Apparent energy (draw minus feed),since last reset,Scheinenergie (Bezug minus Einspeisung),seit letztem Zurücksetzen,
Energy,Apparent,Im Ex Diff,Interval,Apparent energy (draw minus feed),over interval,Scheinenergie (Bezug minus Einspeisung),in Zeitintervall,
Power Factor,,,Directional,Power factor,sign indicates the direction of the current,Leistungsfaktor,Vorzeichen gibt Richtung des Stromflusses an,
Power Factor,,,,Power factor,,Leistungsfaktor,,
Frequency,,,,Frequency,,Frequenz,,
Phase Angle,,,,Phase angle,,Phasenwinkel,,
Voltage THD,,,,Voltage THD,,THD der Spannung,,
Current THD,,,,Current THD,,THD des Stroms,,
Current Offered,,,,Current offered,,Angebotener Strom,,
Power Offered,,,,Power offered,,Angebotene Leistung,,
